rec_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-155-org,   por, f, 12, 20040317, ms, macormack, demenses, nsw, mitchells flat, 2500, 16, habgood place, stationyards, 2 96707956, 7967229, 3, NoRole
rec-220-org,   usa, f, 29, 19870222, , madison, alexander, sa, whyte yarcowie, 4570, 177, wilsmore crescent, esk farm, 7 17903673, 6377129, 1, NoRole
rec-212-org,   eng, , 20, 19961215, pfc, alessandra, , vic, swan reach, 5037, 256, lorne place, kimbla, 08 63383727, 3699452, 7, NoRole
rec-294-org,   eng, f, 40, 19760410, , erin, dukeson, vic, combienbar, 4163, 14, brophy street, koolark, 618 18010881, 7244620, 1, NoRole
rec-499-org,   chi, , 21, 19950920, , oliver, yep, vic, club terrace, 7052, 56, amarina street, airlie, 618 72760099, 4172602, 3, NoRole
rec-424-org,   chi, , 31, , pfc, tristan, kin, vic, maidstone, 5031, 5, hawker street, , 08 12976326, 1017028, 6, NoRole
rec-325-org,   ind, f, 26, 19901210, mr, , vinita, , yelbeni, 7010, 5, , , 04 03284558, 9019565, 8, NoRole
rec-24-org,   nor, , 33, 19831115, , sarah, naustvik, nsw, vaucluse, 2071, 27, bruche road, , 612 04241692, 9362370, 7, NoRole
rec-215-org,   por, f, , 19980826, sgt, samuel, feijo, vic, tecoma, 2100, 41, totterdell street, , 08 54219477, 5215244, 6, NoRole
rec-491-org,   spa, f, 8, 20080331, , sophie, arevalo, sa, paringa, 2756, 28, bailey place, burrawang, 617 39189526, 4862033, 7, NoRole
rec-363-org,   spa, f, , 19630620, ms, connor, sarmiento, nsw, halfway creek, 3300, 1, alpen street, , 612 70551454, 7476572, 3, NoRole
rec-59-org,   ind, f, 23, 19931206, , jasper, shurpali, wa, rossmore, 4207, 2, gang gang court, kirklands, 618 46996646, 8033307, 9, NoRole
rec-295-org,   ind, , 25, 19910306, , neneh, satyanarayana, nsw, neville, 5251, 3482, port jackson circuit, , 02 93670681, 7049578, 2, NoRole
rec-182-dup-0, ira, m, 11, 20050918, mst, arry, , , briton, 5066, 4, buntine cresent, emerald agrigultural colleg, 02 14629602, 1806159, 9, NoRole
rec-437-org,   eng, , 32, 19840612, mr, lachlan, earls, , adelaide, 4872, 6, tenison-woods circuit, , 07 45510978, 3772641, 6, NoRole
rec-93-org,   sri, f, 31, 19850421, , jamie, liyanage, , lavington, 6233, 30, fawkner street, , 04 84484491, 7196853, 6, NoRole
rec-435-org,   ind, f, , 19140719, , thomas, chaudhary, nt, tiwi, 2176, 53, fitzhardinge crescent, , 3 80773287, 6254111, 3, NoRole
rec-174-org,   tha, f, , 19510318, , samuel, pridi, nsw, summerland point, 6714, 17, allambee street, , 612 63459149, 9422332, 1, NoRole
rec-78-org,   ser, f, 30, 19860401, , kyle, hren, vic, pura pura, 2913, 1614, hutt street, , 08 33040120, 9198087, 7, NoRole
rec-193-org,   ind, m, 30, 19860411, , samuel, gabba, qld, south johnstone, 2570, 4, namatjira drive, , 613 47362930, 5761122, 9, NoRole
rec-181-org,   ind, f, 24, 19920309, mr, , shubhabrata, nsw, woolloomooloo, 3011, 2058, bindaga street, , 2 08946918, 6603617, 5, NoRole
rec-214-org,   usa, f, 29, 19870321, , kelsy, wilder, qld, wilkesdale, 3122, 133, gundulu place, , 03 11350124, 5363917, 7, NoRole
rec-176-org,   eng, m, 29, 19870123, , stephanie, christopherson, tas, lune river, 3152, , embley street, linton, 07 84729480, 5446339, 3, NoRole
rec-387-org,   pak, m, 33, 19831030, dr, shannon, abassi, wa, viveash, 2137, 10, riddle place, mckail, 618 26840281, 6202753, 9, NoRole
rec-46-org,   chi, , 31, 19850825, , dylan, nye, nsw, hollydeen, 2305, 59, karrugang circuit, , 612 19846333, 2435790, 2, NoRole
rec-14-org,   ind, f, 25, , , shona, sainani, nsw, cambewarra, 3186, 36, carlton place, , 2 98619942, 9178150, 6, NoRole
rec-262-org,   ind, f, 26, 19900723, mr, , pehlajani, qld, brandy creek, 2452, 63, beasley street, , 03 33007006, 1828784, 1, NoRole
rec-271-org,   ger, f, 37, 19790407, , emalene, baigelman, wa, jennapullin, 4218, 75, sternberg crescent, , 618 78538820, 1545067, 4, NoRole
rec-117-org,   chi, f, 34, 19820103, ms, max, qu, nsw, lemon tree, 2482, 18, blacket street, delmar, 03 53918465, 2132200, 1, NoRole
rec-326-org,   chi, , 28, 19880603, , lauren, in, qld, maroochy river, 3910, 32, ashley drive, nunkeri, 03 34435198, 8559610, 5, NoRole
rec-118-org,   eng, , 34, 19821109, ms, nicholas, , qld, felton, 6160, 45, jardine street, stonehenge, 3 07512915, 6269033, 5, NoRole
rec-365-org,   usa, f, 36, 19801125, mr, cameron, kim, vic, meeniyan, 3172, 6, bowman street, , 618 58067254, 7084062, 4, NoRole
rec-114-dup-0, eng, m, 29, , , jamuel, pulle, fic, dandenong noahth, 5022, 18, allan jtreet, , 8 33800487, 6857042, 8, NoRole
rec-292-org,   usa, f, 37, 19790815, ms, shae, james, nsw, menangle, 4701, 4345, buxton street, , 2 97668268, 2957709, 6, NoRole
rec-389-org,   ind, f, 30, 19860823, , , nanga, nsw, wattamolla, 2093, 45, buvelot street, banksia springs, 02 46320644, 9265570, 7, NoRole
rec-408-org,   usa, , 38, 19780806, dr, makenzi, conrad, nsw, moira, 3393, 189, carter crescent, , , 5160267, 5, NoRole
rec-396-org,   chi, f, , 19900222, ms, emmet, shuk, nsw, dharruk, 5152, 42, clianthus street, , 2 62163466, 9015711, 0, NoRole
rec-410-org,   unk, , 23, , , adriana, scjum, vic, nutfield, 2210, 74, bradfield street, , 618 12575249, 1666594, 6, NoRole
rec-23-org,   jap, f, 23, , , liam, kokan, tas, redpa, 2034, 17, kudyera place, , , 4339752, 4, NoRole
rec-361-dup-0, eng, , , , , hollie, simonson, vif, tower hiol, 3048, 2, grimshaw street, , 08 36160044, 7193430, 6, NoRole
rec-373-org,   ser, f, 31, 19851121, ms, jarrod, vjukic, nsw, yarrambat, 4878, 15, atherton street, , 612 19869177, 6691929, 3, NoRole
rec-398-org,   unk, m, 39, 19770217, , chelsea, aarnoudse, qld, scrub creek, 6025, 313, archibald street, court units, 03 80622164, 2950741, 1, NoRole
rec-126-org,   ind, , 25, 19910430, pfc, ruby, manavendra, vic, baddaginnie, 2567, 1, heard street, mindaree, 618 10808770, 9389045, 2, NoRole
rec-404-org,   , f, 12, 20040331, , marco, wotton, sa, flora hill, 3216, 289, nimbin street, , 617 13285313, 8872762, 2, NoRole
rec-270-org,   , f, 34, 19820207, ms, xavier, green, nsw, brocklehurst, 4570, 1, millpost close, , 02 26979967, 5231183, 4, NoRole
rec-72-org,   usa, , 31, , , daniel, oneal, sa, athelstone, 4133, 14, skardon street, , 7 07020723, 3346050, 5, NoRole
rec-17-org,   unk, , 8, 20080116, cpl, sienna, strazzari, qld, karana downs, 2848, 281, andado place, corn hill, 3 21951708, 2670932, 3, NoRole
rec-232-org,   eng, , 30, 19861126, , gracie, hallman, tas, copping, 3083, 2, giles street, , 617 33155894, 1651730, 4, NoRole
rec-96-org,   usa, , 22, 19940713, mr, luke, gonzales, sa, olympic dam, 2147, 5, earle street, , , 8599811, 1, NoRole
rec-6-org,   unk, f, , 19231111, mr, ewan, scjum, nsw, wyrallah, 2207, 255, cossington smith crescent, , 2 52041273, 3239495, 9, NoRole
rec-409-org,   usa, m, 31, 19850808, , , hensley, , north sydney, 2147, 12, messenger street, , 04 07830524, 1495568, 4, NoRole
rec-470-org,   hun, f, 6, 20100601, ms, jye, daroczy, sa, lockleys, 3046, , stanley street, nazareth village, 08 79794694, 5858562, 0, NoRole
rec-372-org,   dut, f, 31, 19850516, , michael, scheffler, wa, nedlands, 4304, 15, laker crescent, , 8 37987148, 3148785, 9, NoRole
rec-343-org,   , f, 31, 19850912, , emiily, wolfenden, qld, jaffa, 2429, 49, , , , 5416793, 3, NoRole
rec-497-org,   ser, m, , 19001128, , trey, zerec, tas, kingston beach, 2111, 48, upton street, , 617 84063373, 1511705, 6, NoRole
rec-266-org,   eng, f, 26, 19900325, , seth, bernardson, nsw, purfleet, 2085, 5, leake place, flanagan's bar, 02 15839641, 3375022, 5, NoRole
rec-465-org,   eng, f, 24, 19921103, , mikhayla, sharman, vic, peronne, 5127, 3, monkman street, , 08 79351421, 8061094, 3, NoRole
rec-35-org,   eng, , 26, 19901215, hon, ashleigh, matthewson, wa, banksia grove, , 6, beaney street, the mount, 8 31152565, 3847041, 3, NoRole
rec-106-org,   usa, f, 11, 20050930, , bethanie, summers, vic, boort, 4077, 30, hillebrand street, , 08 27886571, 6818588, 4, NoRole
rec-291-org,   fin, f, 30, 19860706, , erin, rissanen, nsw, mullingar, 5291, 4, derrington crescent, , 612 37201008, 5667843, 2, NoRole
rec-101-org,   eng, f, 33, 19830628, , jessica, attwater, nsw, matraville, 3178, 17, carbeen street, , 02 18671521, 6693790, 9, NoRole
rec-264-org,   unk, f, , 19051211, , malakai, straw, vic, somerville, 2641, 21, streeton drive, , 618 91147025, 9629584, 8, NoRole
rec-468-org,   ind, f, 35, 19810309, , bailey, dua, vic, flinders, 3616, 18, william webb drive, nioka, 618 93541059, 7597070, 3, NoRole
rec-231-org,   chi, f, 36, 19801127, , joshua, chian, , beenleigh, 2216, 4, coningham street, , 08 68587385, 9080334, 3, NoRole
rec-336-org,   , , 19, 19970514, ms, alessandra, miles, tas, swansea, 6155, 4, bougainville street, , 07 22906008, 6364100, 5, NoRole
rec-284-org,   fre, f, 30, , , kane, denot, vic, koondrook, 6147, 5, darcy close, johnflynn medical centre, 8 20215469, 3796125, 7, NoRole
rec-112-org,   usa, f, 35, 19810905, mr, sophie, baxter, nsw, dignams creek, 4300, 3, evella court, , 2 88322312, 7764109, 2, NoRole
rec-206-org,   rom, f, 8, 20080126, , kayne, Ştefan, vic, strathmore heights, 3095, 3, zox circuit, villa 5, 08 52536976, 5898811, 6, NoRole
rec-350-org,   unk, f, 9, 20070913, , joshua, aarcy, wa, cambridge gulf, 2289, 5, walker crescent, rowethorpe, 618 42748311, 8271203, 9, NoRole
rec-457-org,   ind, , 36, 19800131, , jeremy, sammeta, vic, rocklands, 4714, 764, cromwell circuit, peppercorn lodge, , 5339473, 4, NoRole
rec-4-org,   fre, f, , 19861212, , india, rollin, sa, terowie, 3461, 54, boolimba crescent, , 7 97948809, 4315232, 5, NoRole
rec-328-org,   dan, f, 12, 20040131, dr, grace, holm, , eastwood, 3913, 2, ramsay place, , 07 80605769, 8458663, 0, NoRole
rec-416-org,   jew, f, 29, 19870724, mr, annabelle, littauer, , blacktown, 2580, 3, leake place, , 04 25341208, 8167301, 7, NoRole
rec-13-org,   eng, f, 35, 19810212, dr, christopher, mcgrory, tas, rosegarland, 2145, 24, charterisville avenue, homebrook, 7 21261891, 7163266, 8, NoRole
rec-201-org,   usa, m, , 19270331, mr, isaac, duncan, vic, law courts, 2104, 4, payne place, , 618 67219291, 8228030, 5, NoRole
rec-146-org,   eng, f, 30, 19860508, , oliver, hendry, vic, newborough, 5114, 535, hamlet place, tochra, 618 53746216, 8065439, 8, NoRole
rec-316-org,   eng, , , 19541107, , mikayla, matheson, nsw, hillgrove, 2148, 52, dale place, platina, 612 42328998, 3816243, 9, NoRole
rec-463-org,   gre, , 33, 19831001, mr, james, vougiouklakis, vic, rupanyup, 2094, 42, markham street, , 618 41606069, 8021575, 8, NoRole
rec-95-org,   unk, f, 27, 19890619, , kiara, sclater, qld, coorooman, 5161, 25, florence taylor street, arrowgrove, 613 28082956, 5169002, 6, NoRole
rec-448-org,   eng, f, 34, 19820211, dr, chloe, samuels, nsw, west pymble, 3175, 45, edkins street, , 612 25397739, 9625170, 6, NoRole
rec-111-org,   chi, f, 28, 19880724, dr, jessica, keng, nsw, holroyd, 4005, 16, blandon place, , 2 65935096, 9972426, 2, NoRole
rec-390-dup-0, usa, f, 30, 19860102, ms, tho as, stanley,  a, yagoona, 3850, 29 , gellibran  street, dandegong, 764626707, 5545918, 0, NoRole
rec-335-dup-0, spa, , 22, 19940116, ms, stara, asprila, sta, maylants, 4352, 1, zoyner place, , 7 02985547, 7152795, 6, NoRole
rec-179-org,   ara, m, 29, 19870301, ms, levi, hasna, qld, burleigh heads, 5291, 29, crisp circuit, , 03 94597615, 7923404, 2, NoRole
rec-235-org,   usa, f, 10, 20060706, , , , vic, ballarat, 3195, 15, belconnen way, , 618 94949797, 5910961, 5, NoRole
rec-86-org,   usa, f, , 19960112, , mitchell, jones, wa, katanning, 2228, 188, sentry crescent, , 8 92811020, 3437163, 4, NoRole
rec-132-org,   rus, f, 30, 19860305, , jessica, volovyk, qld, dalma, 6027, 225, augustus close, , 3 04396507, 7654658, 8, NoRole
rec-449-org,   chi, f, , 19350610, ms, angus, da, wa, malaga, 3977, 15, tytherleigh street, , 08 52139027, 7837845, 1, NoRole
rec-197-org,   fin, f, 22, 19941104, , monique, laitila, nsw, toorak, 3612, 72, tyson street, , 02 81217165, 7779864, 0, NoRole
rec-190-org,   eng, f, 29, 19871111, , seth, dickenson, nsw, hollydeen, 4505, 25, meymott place, , 02 88040494, 2610811, 2, NoRole
rec-38-org,   usa, , 26, 19901215, , kelsey, mcfadden, nsw, cal lal, 4035, 20, peacock place, tintagel, 02 80773426, 9794873, 4, NoRole
rec-164-dup-0, chi, , , 19321231, ms, alana, nak, nsw, wards  iver, 5093, |, hawkesbury crescent, ellicehill este, 612 52614974, 271585 , 2, NoRole
rec-379-org,   usa, , 29, 19870713, mr, krystin, williamson, vic, strathfieldsaye, 4163, 25, allott place, , 8 55545285, 8510967, 4, NoRole
rec-90-dup-0, eng, , 33, , , tayla, abraams, , buddina, 2765, 79, albermafle place, , 04 77176575, 1729074, 5, NoRole
rec-222-org,   ind, , 29, 19871231, , emiily, preetish, wa, tampu, 6111, 130, hanna street, , 618 63264630, 7144093, 2, NoRole
rec-285-dup-0, chi, v, 28, 19880902, ms, riean, luen, fic, puln buln, 2750, 5, tyrell circuit, , 8 75931914, 5337182, 3, NoRole
rec-173-org,   eng, m, , 19691117, ms, joshua, wortham, qld, bedourie, 2153, 1, willoughby crescent, , 03 15141121, 5336156, 0, NoRole
rec-339-dup-0, usa, f, 29, 19871120, mr, matilda, zimm erman, s a, franks ton, 3806, 78 , scarboroughstreet, , 617 29590264, 2226524, 9, NoRole
rec-324-org,   eng, f, 30, 19860128, , breeanne, victorsen, vic, hawksburn, 5046, 83, mcconnel crescent, como, 618 30980261, 3960375, 8, NoRole
rec-217-org,   unk, m, 39, 19770613, , kelsey, scoby, nsw, leadville, 3850, 7, simpson street, sec 1, 612 24853465, 2594598, 1, NoRole
rec-297-org,   iri, f, 26, , , william, mcmanus, qld, south toowoomba, 6058, 162, creswell street, john flynn medical centre, 04 99809999, 2013475, 8, NoRole
rec-167-org,   usa, , 25, 19910114, , adam, holland, vic, branditt, 4031, 13, waite street, , 08 29363001, 3095047, 4, NoRole
rec-171-org,   chi, m, , 19800211, , natassia, tian, qld, ramsay, 3219, 13, courtice close, apt 1, 03 65205718, 2188347, 6, NoRole
rec-393-org,   ger, f, 26, 19901211, mr, mitchell, schlesser, qld, julatten, 2370, 6, brebner street, , 3 58521493, 1130939, 7, NoRole
rec-259-org,   chi, f, 32, 19841207, , jasmyn, zha, vic, sebastopol, 3125, 99, norris street, , 8 48052314, 5307364, 3, NoRole
rec-123-dup-0, usa, , 23, 19930806, , tyler, harpis, , glengowrie, 7327, 1, wattle syreet, , 03 50496178, 1679244, 3, NoRole
rec-184-org,   eng, f, 29, 19870723, pfc, prudence, traviss, qld, stony creek, 6147, 55, kenyon circuit, , 03 60423393, 4388420, 9, NoRole
rec-51-org,   por, m, 22, 19940927, hon, lachlan, dida, , punchbowl, 3155, 44, la perouse street, yarras est, 08 88681541, 7027809, 3, NoRole
rec-239-org,   unk, , 10, , , isabella, abadi, , noble park, 2355, 41, ashby circuit, , , 1175696, 0, NoRole
rec-420-org,   unk, m, , 19360609, ms, claudia, strawbridge, , st albans, 4504, 11, currie crescent, forestview, , 8149654, 1, NoRole
rec-278-dup-0, usa, , 24, 19920 714, dr, hayde n, sl an, sa, carina height5, 3013,  3, crocker place, , 617 21777837, 6903245, 7, NoRole
rec-5-org,   eng, f, 12, 20041121, mr, alexandra, leonardson, , macquarie fields, 3912, 19, pickworth street, st james, 04 82094241, 1016922, 0, NoRole
rec-332-org,   usa, f, 9, 20070527, , harrison, bowen, nsw, bankstown, 2535, 4, maribyrnong avenue, , 2 68616453, 9223442, 7, NoRole
rec-64-org,   eng, f, 21, 19950110, mr, helena, seaver, vic, kawarren, 2560, 11, walsh place, red hills, 8 30124766, 2537131, 5, NoRole
rec-199-org,   , , 37, 19791019, ms, jennifer, gaskin, wa, iluka, 5238, 395, cowper street, , 8 65739724, 3336562, 9, NoRole
rec-36-org,   eng, f, , , , jasper, alfredson, qld, splinter creek, 2485, 58, , ettrick, 3 06636596, 8203796, 7, NoRole
rec-214-dup-0, usa, , 29, 19870321, , kely, wilder, qld, wilkesale, 3122, 143, gundulu pkace, , 03 11350124, 5363917, 7, NoRole
rec-202-org,   , m, 36, 19800331, , caresse, moulton, qld, lamington national park, 3950, 63, strachan place, , 03 99890676, 6312651, 4, NoRole
rec-84-org,   eng, f, 34, 19820317, , jackson, blackwood, qld, ashgrove, 6021, 272, buik place, noosa outlook, 03 33813378, 2245211, 8, NoRole
rec-8-org,   usa, f, 22, 19940115, , marcus, larson, , , 4556, 23, mirning crescent, , 07 39692422, 6483499, 0, NoRole
rec-73-org,   chi, f, 28, 19880606, dr, benjamin, ueng, qld, coomoo, 6530, 33, walker crescent, , 3 62352562, 9152446, 5, NoRole
rec-66-org,   ser, f, 30, 19860217, hon, gianni, rendulic, qld, kelvinhaugh, 3909, 17, , sunnydale cottage, 3 64097189, 2471080, 9, NoRole
rec-283-org,   dut, f, 23, 19930104, , emiily, ager, qld, balcomba, 2541, 2, hart close, , 03 66968258, 2991956, 1, NoRole
rec-419-org,   eng, f, 35, 19811016, ms, tahlia, keegan, nsw, curlewis, 6237, 2, archibald street, , 02 14738594, 7914799, 8, NoRole
rec-287-org,   tha, f, 30, 19860410, , lukas, sunthorn, nsw, tomago, 2800, 6, schoales place, , 02 60768613, 3131684, 6, NoRole
rec-331-org,   usa, , 28, 19880622, , patrick, holland, vic, gheringhap, 2062, 84, bastow circuit, , 08 28365838, 4765621, 6, NoRole
rec-121-org,   usa, f, 34, 19821215, hon, charlotte, collier, tas, rosny park, 3150, 96, temperley street, lindisfarme, 7 29070825, 5219684, 2, NoRole
rec-69-org,   usa, f, 40, 19760703, , harrison, owen, nsw, salamander bay, 3922, 98, mauldon street, , 2 22093698, 5693984, 2, NoRole
rec-169-org,   ina, f, , 19011002, , charlotte, gunawan, nsw, croydon, 4662, 7, antill street, willandra, 612 77038455, 8497761, 2, NoRole
rec-369-org,   ara, f, 39, 19771225, , amber, nasihah, qld, bauhinia, 4220, 35, , , 03 64949720, 5586035, 7, NoRole
rec-251-org,   chi, f, 22, , ms, nicholas, hao, nsw, green point, 7018, 2, , , 03 43533262, 1043613, 1, NoRole
rec-352-dup-0, chi, f, 39, , , shing, kyra, vic, johnsonville, 2650, 13, millhouse crescent, , 8 05565586, 1526114, 1, NoRole
rec-414-org,   usa, f, , 19450317, mr, adam, todd, wa, brown hill, 4305, 14, temperley street, , , 5897256, 4, NoRole
rec-285-org,   chi, f, 28, 19880902, ms, ryan, luen, vic, buln buln, 2750, 5, tyrrell circuit, , 8 75931914, 5337182, 3, NoRole
rec-313-org,   , f, 29, 19870928, , julia, ryan, wa, seabird, 2335, 47, osmand street, , 8 39956858, 1360968, 6, NoRole
rec-254-org,   eng, f, 32, 19840324, dr, william, ikin, nsw, binalong, 3230, 29, kootingal street, harefield, 612 73085399, 5815378, 8, NoRole
rec-492-org,   , f, 39, 19770704, ms, adam, clarke, vic, south melbourne, 2480, 351, harford street, , 618 77524971, 4161495, 8, NoRole
rec-354-dup-0, eng, , 3 5, 19811016, , j ade, wyndham, n sw, argenton, 4870, 4, conyers street, brentw ood vlge, 02 56568875, 2062 35, 1, NoRole
rec-138-org,   eng, , , 19520614, mr, james, jephson, sa, karoonda, 4737, 9, rankine place, , 617 27472978, 6438014, 8, NoRole
rec-460-org,   eng, , 37, , , jack, harman, sa, paradise, 3000, 120, webb place, , 617 84902897, 9113376, 6, NoRole
rec-216-org,   eng, m, , 19000928, , dylan, witherspoon, vic, laanecoorie, 5127, 345, , , 08 45993889, 3259800, 2, NoRole
rec-99-dup-0, eng, f, , 19330828, , aprli, winchester, nsw, upper horton, 3260, 52, emily bulcoc crescent, swamp the, 02 68320189, 4092717, 1, NoRole
rec-149-dup-0, usa, , , 19800416, , william, kemp, , sale, 4207, 562, barracloughc rescent, , 08 27892035, 7846960, 5, NoRole
rec-348-org,   usa, f, 8, 20080822, dr, liam, everett, qld, east cooyar, 3190, 34, gipps street, woolgoolga retirement village, 3 98262418, 6149406, 3, NoRole
rec-490-org,   , , 33, 19830902, , cade, quill, vic, camberwell east, 5255, 1, wearing street, , 8 64844272, 4298128, 1, NoRole
rec-451-org,   usa, f, 32, 19840130, , casey, franco, wa, cloverdale, 6230, 32, kurrama close, , 08 08630517, 1367455, 6, NoRole
rec-407-org,   usa, f, 30, 19861209, ms, amy, lyons, nsw, narromine, 2250, 7, sanderson close, como, 02 98158793, 9243530, 9, NoRole
rec-230-org,   unk, m, , 19631101, ms, luke, aarnoudse, nsw, elands, 2203, 8, mentone view, , 02 12894814, 8766688, 3, NoRole
rec-208-org,   eng, f, , , ms, amelia, royceston, wa, ularring, 3043, 189, alexandra street, , , 5313729, 2, NoRole
rec-236-org,   eng, f, 41, 19750224, , callum, rutherfurd, nsw, mount hunter, 2099, 161, throssell street, , 2 08424941, 8856538, 6, NoRole
rec-211-org,   eng, m, 21, 19950526, , alessia, espenson, nsw, horsley, 3761, 89, dumaresq street, , 2 19182616, 8965188, 2, NoRole
rec-156-org,   eng, f, 28, 19880313, , thomas, kipling, qld, spring hill, 2794, 82, maitland street, glenmarla rmb 2563, 3 35425869, 2589409, 4, NoRole
rec-225-org,   usa, , 25, 19910605, mr, stephanie, osborn, nsw, gum scrub, 3150, 3, levien street, , 02 40093408, 4710951, 6, NoRole
rec-192-org,   eng, f, 23, 19930321, , samuel, royceston, wa, eastbrook, 2650, 21, lambrigg street, , 08 18273048, 7524325, 2, NoRole
rec-302-org,   eng, f, 37, 19791212, ms, seth, derricks, , forrestfield, 4030, 8, starke street, pinelea, 08 66506152, 6311486, 8, NoRole
rec-495-org,   chi, f, 24, , sgt, ethan, jaw, , kandos, 5172, 8, hale place, , 04 02742626, 6075556, 1, NoRole
rec-116-dup-0, chi, v, , 19160727, ms, roan, kuo, qld, bel, 7260, 23, koglin place, , 613 58801279, 5780212, 0, NoRole
rec-204-org,   eng, f, 23, 19930809, mr, blayke, pemberton, nsw, homebush bay, 2020, 11, grimwade street, , 2 59117353, 9324468, 9, NoRole
rec-486-dup-0, usa, v, 34, 19821117, , olivya, cavez, nsw, oadley, 4073, 30, tajewell circuit, , 612 36703581, 7701305, 7, NoRole
rec-327-org,   eng, f, 29, 19870121, pfc, chelsea, dennell, vic, st kilda road central, 2335, 26, pring place, , 03 63033112, 2082762, 0, NoRole
rec-75-org,   eng, f, 27, , , vendula, sangster, wa, peron, 2031, 5, clift crescent, indooroopilly shopping centr, 618 85739426, 3401140, 6, NoRole
rec-406-org,   eng, , 33, 19830311, ms, georgia, quigley, wa, bow bridge, 5017, 100, jackie howe crescent, , 08 25196836, 5266621, 6, NoRole
rec-133-org,   usa, f, 30, 19860302, , harry, sawyer, nsw, kogarah, 2643, 1, sheaffe street, ra 23076, 02 22986706, 4685833, 4, NoRole
rec-384-org,   unk, f, , 19180723, , meagan, , qld, dutton park, 2198, 36, tanumbirini street, , 3 62967562, 1204344, 2, NoRole
rec-417-dup-0, cze, m, , 19430521, , ckeelin, plaha, nstw, boral, 5070, 668, wyangala sdreet, , 2 14731407, 1730171, 6, NoRole
rec-34-org,   rom, , , 19210830, , ned, ghiŢĂ, wa, ferguson, 6160, 5, gatehouse place, kareela, 618 17358243, 9205310, 3, NoRole
