rec_id, rec2_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-7829-org,   rec-8455-org, usa, f, 25, , ms, angelica, grimes, nsw, karangi, 2447, 12, coolac place, wacharoo, 2 99735917, 4924403, 5, NoRole
rec-6244-org,   rec-3073-org, , , 35, , mr, joel, grbovac, qld, glen aplin, 2575, 44, barden place, jabaru court, 613 73619382, 6939595, 0, NoRole
rec-6805-org,   rec-4140-org, wel, f, , 19141231, sgt, alex, , vic, alice springs, 4034, 48, currie crescent, , 08 70240257, 3294086, 6, NoRole
rec-8240-dup-0, rec-5889-org, eng, f, 13, 20030214, , cal lie, ansln, qld, glenwold, 2040, 52, phillimofe place, niana, 3 83430131, 3377764, 2, NoRole
rec-4710-org,   rec-7144-org, usa, , 36, 19801009, dr, james, estes, , brunswick west, 4151, 18, gamban square, , 08 52694736, 8676732, 9, NoRole
rec-5276-org,   rec-8769-org, unk, f, 41, 19750117, , tarshya, scoby, nsw, barellan, 3135, 14, clarey crescent, learning earth farm, 02 98681216, 4216188, 7, NoRole
rec-7755-org,   rec-3287-org, chi, f, 31, 19851006, , julia, lyou, sa, tanunda, 6112, 2, forbes street, , 07 58852374, 2156152, 1, NoRole
rec-1821-org,   rec-1221-org, chi, m, 39, , , belinda, jang, vic, devenish, 3192, 10, hutchins street, , 08 03699584, 4577536, 0, NoRole
rec-2041-org,   rec-6276-org, usa, f, 31, 19851209, , sean, hart, sa, ballarat, 3418, 50, alice jackson crescent, professional centre, 07 89804778, 2680295, 1, NoRole
rec-1169-org,   rec-1259-org, unk, m, 28, 19881002, ms, zachary, scopel, qld, millchester, 3305, 250, galloway street, carrama ridge, 03 25220361, 6398445, 3, NoRole
rec-6949-org,   rec-1243-org, unk, m, 34, 19820503, hon, latham, schwanke, nsw, baulkham hills, 2121, 1, studley street, rockview, 2 25145856, 5044240, 9, NoRole
rec-1617-org,   rec-3225-org, usa, , 24, 19921009, , alia, park, qld, eromanga, 4356, 57, gungurra crescent, retirement village, 613 96357084, 9212893, 1, NoRole
rec-6565-org,   rec-2788-org, tha, f, 25, 19910425, , , nitpattanasai, nsw, mallabula, 3756, 20, forbes street, , 2 96563914, 5442790, 3, NoRole
rec-6208-dup-0, rec-6547-org, usa, g, 32, 19841029, , alana, carzon, vic, taylors lakes, 2786, 11, hilton close, , 618 51058268, 9469763, 0, NoRole
rec-5883-org,   rec-4038-org, eng, f, 33, 19830830, ms, jack, macneil, nsw, sutton forest, 2121, 85, getting crescent, , 612 64166308, 4824902, 5, NoRole
rec-7778-org,   rec-6425-org, ind, f, 34, 19820210, , isabella, chinnakannan, qld, herston, 2280, 130, nimbin street, , 613 78480043, 5204689, 7, NoRole
rec-2174-org,   rec-4584-org, eng, , 36, 19800228, mr, karissa, traver, sa, weetulta, 2118, 139, richmond avenue, , 7 99396941, 8710680, 6, NoRole
rec-1681-org,   rec-8219-org, hun, m, 29, , , mila, sarf, nsw, booral, 7004, 4, mcluckie crescent, , 02 44692465, 1083205, 1, NoRole
rec-244-org,   rec-6073-org, por, f, , , , tommi-lee, catarino, nsw, griffith, 4122, 311, barada crescent, , 2 42895205, 9419665, 1, NoRole
rec-4587-org,   rec-167-org, unk, , 34, 19820420, ms, joel, scofield, qld, alice river, 5086, 107, aspinall street, caragnoo, 3 42291143, 3011991, 6, NoRole
rec-6764-org,   rec-5501-org, usa, m, 36, 19800822, mr, thomas, hoover, nsw, byabarra, 3175, 74, barrington crescent, dudley specialist medical centre, 2 20164515, 4063328, 4, NoRole
rec-627-org,   rec-2752-org, eng, , , 19431019, , hayley, royle, qld, mirani, 3134, 5, keverstone circuit, , 613 46656565, 3032907, 3, NoRole
rec-4929-dup-0, rec-4971-org, chi, , 30, 19806506, mr, petee, oni, , armdiale, 2652, 1, hytten place, , 03 55876544, 8202380, 5, NoRole
rec-2374-org,   rec-5994-org, chi, , , 19370407, dr, alissa, dzeng, qld, yuleba north, 2147, 346, albermarle place, gundamain, 3 78774177, 2080642, 5, NoRole
rec-2283-org,   rec-7759-org, rom, m, 20, 19961101, , courtney, comeaga, wa, joondanna, 2527, 117, birrell street, , 8 93669299, 5062895, 0, NoRole
rec-5667-org,   rec-3210-org, chi, f, 23, 19930205, , teagan, chi, vic, mount taylor, 4740, 67, schwarz place, , 8 75023769, 2931338, 1, NoRole
rec-7156-org,   rec-1913-org, eng, f, 30, 19861031, , nicholas, pressley, nsw, tarcutta, 4032, 4, fizelle place, , 2 16193951, 2910839, 7, NoRole
rec-8763-org,   rec-77-org, ser, m, 27, 19890926, , alyssa, randjeiovic, qld, mitchelton, 3580, 7, miranda place, , 613 39105313, 6081754, 9, NoRole
rec-276-org,   rec-5811-org, ger, f, 20, 19960302, , dimitri, schrder, , nunawading, 5031, 103, proctor street, , 02 80188376, 7198049, 5, NoRole
rec-8289-org,   rec-6707-org, usa, f, 29, 19871115, , stephanie, morin, nsw, riverwood, 5163, 19, thurlow place, , 2 67031232, 5301834, 0, NoRole
rec-3766-org,   rec-5181-org, usa, f, 26, , , eliza, patton, sa, karoonda, 2114, 150, mortlock circuit, , 617 04981204, 7067513, 9, NoRole
rec-8829-org,   rec-4305-org, fre, m, 31, 19850212, mr, lucy, escoutou, wa, beermullah, 3185, 2, goodhart crescent, pineview farm, 618 56747302, 1765222, 4, NoRole
rec-6982-org,   rec-917-org, dut, f, 38, 19781028, , zara, jansens, nsw, gundy, 3796, 1, ebenezer street, , 02 69355909, 9728106, 2, NoRole
rec-4257-org,   rec-5664-org, pak, f, 31, , ms, mollie, isanpoto, vic, altona north, 3091, 85, tepper circuit, kilngrove, 07 66423636, 9507657, 4, NoRole
rec-7939-org,   rec-8999-org, usa, f, 27, , , wade, ryan, vic, lalor park, 2515, 23, macgregor street, , 08 90549969, 3396963, 1, NoRole
rec-8398-org,   rec-5604-org, vie, m, 31, 19850119, ms, ned, tanh, nsw, mount pleasant, 2207, 19, , billycreek farm, 2 92118349, 2983668, 7, NoRole
rec-3770-org,   rec-5452-org, usa, m, 35, 19810131, ms, jacob, dickson, nsw, guyra, 2194, 39, temperley street, , 612 13630470, 6654150, 2, NoRole
rec-6117-dup-0, rec-5758-org, usa, c, 30, 19860410, , harrisn, hudson, nsw, south weit rocks, 3825, 202, rodway street, , 07 83363248, 8211353, 4, NoRole
rec-6616-dup-0, rec-4495-org, usa, f, , , , ajah, todm, qld, jericgo, 2795, 45, crescent macfarland, , , 5768585, 9, NoRole
rec-5854-dup-0, rec-5103-org, rom, , 29, 19870720, , jacob, pavenic, qlm, royal brisbane hospital, 4018, 12, , , 613 24903645, 8150573, 4, NoRole
rec-1562-org,   rec-4691-org, dan, f, , 19781010, ms, megan, claussen, nsw, enmore, 3165, 15, rosella street, osborne house, 04 14031007, 1161908, 1, NoRole
rec-6553-org,   rec-3515-org, ara, m, 31, 19851130, , madison, shariqah, wa, north plantations, 5301, 3, mansfield place, , 08 95249774, 1902529, 5, NoRole
rec-5205-org,   rec-5309-org, ind, f, , 19540324, , chloe, somasundaram, vic, allans flat, 3556, 13, shackleton circuit, broombie stud, 618 41206682, 6327985, 0, NoRole
rec-5592-org,   rec-2180-org, iri, f, , 19180303, ms, eboni, berne, nsw, manly vale, 4020, 113, , , 612 61059909, 2727760, 0, NoRole
rec-7283-org,   rec-2035-org, sri, m, 23, 19930127, ms, vianca, chandika, nsw, noble park, 4340, 153, burdekin avenue, rose gardens touri, 612 15549497, 4818495, 0, NoRole
rec-358-org,   rec-1498-org, eng, f, , 19790217, dr, keira, hopson, , clovelly, 3199, 12, poynton street, , 07 16952482, 6281246, 8, NoRole
rec-7119-org,   rec-6420-org, abo, f, 34, 19821226, , ambrosia, ofanengaue, tas, cuprona, 2287, 23, bambridge street, shopping centre, 7 86056490, 9819101, 8, NoRole
rec-1016-dup-0, rec-2937-org, chi, f, 28, 19861211, , emiil, dae, nsw, red rock, 4037, 12, menzieo place, , 04 35368969, 5763026, 6, NoRole
rec-5269-org,   rec-2957-org, ser, f, 27, 19890513, , isobel, batez, , penshurst, 2550, 10, bandjalong crescent, redwood village, 04 49036820, 5844885, 3, NoRole
rec-1927-org,   rec-5297-org, eng, f, 37, 19791009, , riley, mottershead, nsw, aylmerton, 2650, 32, , huntington, 02 52016204, 5167987, 6, NoRole
rec-5159-org,   rec-3513-org, ara, f, , 19540512, , jasmine, afreen, act, theodore, 4509, 10, macdonnell street, firthdene, 02 24218353, 1297760, 5, NoRole
rec-4460-org,   rec-6562-org, eng, f, , 19301209, , arren, nathanson, vic, parkville, 4805, 4, spensley place, , 618 30296950, 4226695, 2, NoRole
rec-4755-org,   rec-8949-org, usa, , 36, 19800807, dr, finn, beck, nsw, wollstonecraft, 4852, 58, davidson street, warialda, 612 26629748, 7456015, 0, NoRole
rec-4245-org,   rec-44-org, spa, f, 34, 19821021, , cheyenne, delacerda, wa, cabramatta, 4227, 23, goldie place, , 8 99698332, 5134082, 6, NoRole
rec-7412-org,   rec-5395-org, chi, f, 11, 20050309, ms, tess, hsin, , battery hill, 0830, 11, o'sullivan street, , 02 02023828, 6352766, 5, NoRole
rec-2916-org,   rec-4947-org, swe, , , 19591023, , emiily, fagerholm, wa, razorback, 2790, 6, reynolds street, , 618 51112312, 6438970, 5, NoRole
rec-990-org,   rec-2322-org, usa, f, 24, 19920729, , tyron, rhodes, qld, kirkwood, 2155, 66, sherwood circuit, , 3 45229910, 9272233, 6, NoRole
rec-9000-org,   rec-4270-org, eng, m, 27, 19890202, , dominic, macgregor, vic, minto, 6104, 90, craven place, , 618 98021757, 4634897, 4, NoRole
rec-5410-org,   rec-5665-org, chi, , 29, 19870610, mr, holly, tann, vic, greendale, 3690, 1030, holt place, , 618 99048879, 7323600, 8, NoRole
rec-2447-org,   rec-7542-org, sri, f, 31, 19850528, , aaliyah, jayaratne, tas, , 4650, 69, jemalong street, , 02 37607721, 1702894, 9, NoRole
rec-6090-org,   rec-5461-org, unk, , 39, 19770218, , mitchell, sclater, vic, woodville south, 6148, 7, sargeant place, , 08 52412633, 7315755, 9, NoRole
rec-241-org,   rec-6429-org, ger, f, , 19880712, ms, annabel, loheit, nsw, dangar island, 3138, 41, mugga way, , 03 43059303, 8566983, 3, NoRole
rec-8750-org,   rec-8812-org, usa, , 30, , , jamie, sears, qld, park ridge, 2450, 25, goldstein crescent, leonawood, 3 50149046, 5592348, 0, NoRole
rec-6128-org,   rec-4267-org, spa, , 36, 19801105, , charlotte, rascon, tas, legana, 2256, 15, pickworth street, pieracle, 617 16974808, 9351052, 0, NoRole
rec-8290-org,   rec-551-org, eng, f, 29, 19870409, , olivia, winfield, vic, nunawading bc, 2570, 131, cazaly close, roseglen, 8 58586062, 1826471, 7, NoRole
rec-3422-org,   rec-7708-org, gre, f, 35, 19811001, mr, amber, primikynos, qld, redcliffe, 4114, , castleton crescent, coulter court, 613 06189552, 9391523, 5, NoRole
rec-5904-org,   rec-2132-org, chi, , 27, 19890616, mr, harriet, jen, qld, nuriootpa, 2132, 34, dale place, villa 19, 03 55368311, 5015705, 4, NoRole
rec-5288-org,   rec-7468-org, eng, f, 19, 19970625, , jayden, rennoll, nsw, bathurst, 2145, 21, andamooka street, , 02 82136368, 6647501, 6, NoRole
rec-3767-org,   rec-3311-org, ita, m, 25, 19910125, dr, alexis, respigli, nsw, macksville, 4565, 47, dyurra garden, urara, 612 45182152, 8232812, 3, NoRole
rec-8937-org,   rec-2136-org, chi, f, 32, 19841024, , eva, pang, wa, nangetty, 0810, 15, , , 618 52344924, 8246048, 6, NoRole
rec-98-org,   rec-2206-org, rom, , 22, 19941120, , kailey, pitu, vic, princes hill, 2167, 36, namatjira drive, , 618 57955795, 1044930, 2, NoRole
rec-1957-org,   rec-4669-org, ser, f, 24, 19920705, ms, chloe, ondruska, vic, cheltenham east, 3171, 83, namadgi circuit, , 618 69041337, 9201283, 3, NoRole
rec-2292-org,   rec-1506-org, ina, m, 22, 19940604, , keeley, kurniawan, nsw, shanes park, 5268, 81, blueberry street, , 08 66169406, 6632300, 5, NoRole
rec-7165-org,   rec-8576-org, abo, f, 26, 19900313, , connor, munyarryun, , devon park, 3162, 159, glencross street, , 07 98364520, 5776676, 0, NoRole
rec-8295-org,   rec-5750-org, eng, , 25, 19910518, mr, amy, sanderson, nsw, frederickton, 0830, 5, orchard place, , 02 59567741, 2494931, 5, NoRole
rec-1618-org,   rec-8541-org, usa, f, 24, 19920222, , renee, bernard, nsw, berry, 2905, 38, stonehaven crescent, spring ridge, 02 14972482, 7037499, 2, NoRole
rec-6788-org,   rec-4260-org, usa, m, 9, 20070902, ms, jordyn, decker, vic, congupna, 7307, 26, redcliffe street, broken hill caravan park, 618 17031208, 6097026, 5, NoRole
rec-1991-org,   rec-5957-org, unk, , 35, , , aurora, strehovski, sa, allenby gardens, 3187, 68, custance street, , 07 89382681, 7137868, 6, NoRole
rec-8275-org,   rec-7636-org, eng, f, 7, 20090214, , rhiannon, timberlake, vic, wunghnu, 3501, 5, mcaulay place, , 618 99548617, 8297661, 4, NoRole
rec-652-org,   rec-8288-org, unk, f, 31, , pfc, ruby, streckfuss, , arcadia, 4211, 18, majura avenue, , 04 18898484, 7893507, 2, NoRole
rec-7719-org,   rec-6382-org, eng, , 13, 20031129, ms, david, abraham, , maribyrnong, 4306, 216, arthaldo court, , 03 03758506, 5217892, 8, NoRole
rec-1715-org,   rec-3112-org, usa, , 33, 19831231, ms, dante, collier, vic, lone pine, 4871, 16, burkitt street, , 8 73164944, 1026889, 7, NoRole
rec-1222-org,   rec-6433-org, eng, f, 37, 19790214, , liam, jeffers, nsw, north star, 2076, 355, deloraine street, , 2 59538167, 8014243, 0, NoRole
rec-3845-org,   rec-532-org, eng, f, 33, , ms, kynan, mckenny, tas, manunda, 4216, 24, pigdon place, , 617 77938929, 6386181, 4, NoRole
rec-3886-org,   rec-3314-org, eng, m, , 19120801, mr, alisa, gore, , upwey, 2290, 14, lewin street, , 04 19824114, 2817225, 4, NoRole
rec-8412-org,   rec-3611-org, tha, f, 35, 19810525, ms, shae, ratana, vic, watchupga, 3882, 24, theodore street, , 08 46623106, 9969176, 4, NoRole
rec-510-org,   rec-6534-org, nor, f, , , mr, , andresen, tas, egg lagoon, 3163, 11, owen dixon drive, , 617 49583740, 6238518, 3, NoRole
rec-5528-dup-0, rec-1313-org, ser, v, , 19360292, mr, jordaf, andjelic, tak, kings meadows, 2906, 129, amagula avenue, , 617 96657446, 7069580, 4, NoRole
rec-357-org,   rec-3089-org, ind, , 28, 19880208, ms, jordan, baharani, sa, salisbury park, 4109, 53, torrens street, , 617 92484345, 8979045, 8, NoRole
rec-4784-org,   rec-6432-org, eng, f, 29, 19870803, , abbey, rupertson, , ermington, 3137, 6, mccarten place, paraquilia, 04 57051888, 5465314, 4, NoRole
rec-1055-org,   rec-7425-org, chi, m, 29, 19870222, , evan, kau, , raymond terrace, 4305, 2, fuller street, old kelvin grove, 04 21271525, 2401686, 9, NoRole
rec-5408-dup-0, rec-6243-org, por, g, 33, 19831126, mr, olie, ferreira, vic, paralowie, 2843, 9, , , 618 82345033, 4861824, 4, NoRole
rec-3597-org,   rec-4478-org, usa, f, , 19610619, , isabella, waters, nsw, killingworth, 2460, 48, figg place, crisvale, 02 76464893, 6678869, 9, NoRole
rec-6627-org,   rec-5058-org, chi, f, 29, 19871004, , jacqueline, guan, wa, cowcowing, 2330, 7, yambina crescent, , 08 51169569, 3481160, 0, NoRole
rec-8579-org,   rec-1750-org, usa, m, 20, 19960629, dr, lachlan, perry, sa, renmark, 5039, 10, alroy circuit, , 02 54384202, 8892381, 7, NoRole
rec-8699-org,   rec-5530-org, pol, f, 21, 19950622, , joshua, duzynski, vic, keysborough, 6556, 28, kitchener street, karobean, 8 94880350, 6093114, 8, NoRole
rec-909-dup-0, rec-3870-org, eng, c, , , , jamiw, scrivenor, nsw, hurlstone park, 2574, 8, kenyon circuit, , 612 40018718, 8341736, 6, NoRole
rec-8757-org,   rec-5056-org, chi, f, 29, 19871031, , luke, ec, tas, christmas hills, 2219, 20, ewing street, , 7 48013706, 4894941, 3, NoRole
rec-2375-org,   rec-2980-org, unk, , 23, 19930911, , demie, abbatista, vic, waitchie, 2228, 21, gilmore crescent, millwood, 618 75910181, 6327629, 7, NoRole
rec-3333-org,   rec-714-org, jew, , 32, 19840517, , ned, halevy, wa, dunn rock, , 14, crozier circuit, rowethorpe, 08 87121853, 9556958, 2, NoRole
rec-5030-org,   rec-2050-org, chi, m, 34, 19820211, mr, anastasia, yueh, tas, strathgordon, 4562, 18, fred lane crescent, , 7 51185147, 8350986, 5, NoRole
rec-5113-org,   rec-1825-org, rom, f, , 19361231, , kaitlin, dumitrescu, tas, deviot, 4216, 7, raiwalla court, , 7 35721084, 1122819, 3, NoRole
rec-8708-org,   rec-2199-org, usa, f, 29, 19870108, , sean, stephenson, nsw, whian whian, 3187, 15, mulley street, noelurma, 04 40273482, 2011067, 2, NoRole
rec-8291-org,   rec-5810-org, usa, m, , 19530409, , lachlan, hardy, nsw, hartley, 2260, 52, crichton crescent, , 02 96660568, 5481221, 0, NoRole
rec-2817-org,   rec-1861-org, ind, f, , , , samuel, jethwani, , vincent, 4680, 9, roseworthy crescent, , 02 07320682, 2580739, 6, NoRole
rec-3309-dup-0, rec-6811-org, ara, f, 27, 19891006, , josh, , vic, st albaqns, 3579, 23, hannafordqstreet, , 08 39922707, 2397352, 0, NoRole
rec-6704-dup-0, rec-154-org, eng, c, 62, 19901107, pfc, tisna, coke, , ryde, 4486, 25, sumner pace, , 02 13596158, 3269862, 5, NoRole
rec-7396-org,   rec-3634-org, usa, , 27, 19890614, ms, keira, duncan, tas, kingston beach, 6210, 111, blacket street, kondalilla, 7 70071842, 8516985, 3, NoRole
rec-1868-org,   rec-8469-org, eng, f, , 19820908, , courtney, jephson, qld, cockatoo, 4878, 410, ormerod place, , 07 61654730, 7228458, 5, NoRole
rec-3464-org,   rec-8423-org, usa, f, 22, 19940319, , bethanie, shaffer, nsw, duri, 2195, 53, norton road, mafeking, 02 34381241, 5071266, 1, NoRole
rec-4417-org,   rec-7673-org, ger, f, 28, 19880210, , juliana, schiff, nsw, wandsworth, 2484, 94, whiteside court, , 612 01612632, 4936702, 2, NoRole
rec-5019-org,   rec-7604-org, unk, f, , 19650730, , april, abbitt, qld, finch hatton, 2120, 10, aronson crescent, peroomba, 613 79016427, 1718951, 1, NoRole
rec-5373-org,   rec-5039-org, usa, f, 40, , ms, flynn, peters, vic, narre warren east, 3355, 1, , townview, 8 05934473, 4533121, 5, NoRole
rec-2234-org,   rec-7582-org, chi, m, 27, , , ryan, , qld, lower cressbrook, 6151, 37, jenke circuit, sheep station, 3 40935566, 2991288, 4, NoRole
rec-3137-org,   rec-5031-org, unk, m, 27, 19890804, , wil, strampher, nsw, raworth, 2093, 88, baldwin drive, , 612 43224623, 5962726, 2, NoRole
rec-7798-org,   rec-3476-org, usa, f, 31, 19850716, ms, aidan, carey, vic, springvale, 3806, 24, yamba place, willandra, 8 17056730, 5169769, 5, NoRole
rec-8494-org,   rec-4673-org, usa, f, 27, 19891015, , gabrielle, hogan, nsw, south nowra, 6110, 107, mugglestone place, freonbrae, 02 07661932, 3918820, 9, NoRole
rec-3846-org,   rec-2133-org, eng, f, 19, , , samuel, rowntree, , st clair, 2650, 11, , , 02 42644146, 8009359, 7, NoRole
rec-2863-org,   rec-1956-org, tur, , 32, 19840622, , lia, erim, , galston, 2303, 40, sanderson close, city centre plaza, 03 61103389, 3159349, 9, NoRole
rec-457-org,   rec-2103-org, eng, f, 27, 19890709, dr, esme, elliston, nsw, wellington, 2191, 364, mcintosh street, , 612 55422030, 8810790, 9, NoRole
rec-6407-org,   rec-7638-org, usa, f, 26, 19900310, , luke, kennedy, wa, allanson, 5161, 29, antill street, coryndirk, 08 67865715, 7277686, 3, NoRole
rec-3467-org,   rec-8439-org, dan, f, 24, 19920526, , georgia, wieghorst, vic, dingley village, 2750, 61, bingham circuit, village walk (cnr high s street, 8 15227138, 4419205, 2, NoRole
rec-4208-org,   rec-6714-org, fin, f, , 19390314, , michael, suominen, nsw, freemantle, 2333, 28, mather street, , 612 23583424, 1490995, 3, NoRole
rec-1806-org,   rec-1530-org, ira, f, , 19190716, , thomas, yousefi, qld, dangore, 3041, 22, chillagoe street, , 03 75171494, 8051906, 8, NoRole
rec-3150-org,   rec-5001-org, usa, m, 34, 19820311, , isabella, frazier, qld, glen ruth, 2263, 26, wheatley street, , 3 74096913, 9775297, 0, NoRole
rec-5160-org,   rec-1931-org, ser, f, 28, 19880227, , shaun, mihalic, nsw, ballarat, 3579, 2, bagot street, , 2 51475171, 9242795, 5, NoRole
rec-2333-org,   rec-2518-org, eng, f, 36, , , liam, rutherford, qld, centenary heights, 6008, 14, saxby close, mungery, 3 60848406, 7871496, 5, NoRole
rec-122-org,   rec-1604-org, ind, , 8, 20080218, , charlie, nabendu, qld, marlborough, 2153, 14, wylie street, , 3 69896859, 6601434, 8, NoRole
rec-3981-org,   rec-5795-org, nor, f, 20, 19960224, , bailee, burass, vic, ararat, 2680, 4, kelly place, , 08 56379921, 2671764, 6, NoRole
rec-8967-org,   rec-5052-org, eng, f, , , , andrew, mcentire, nsw, mumbil, 3135, 39, cavill close, , 2 91573942, 2123999, 9, NoRole
rec-7642-org,   rec-2873-org, usa, m, 28, 19880627, mr, christian, knight, nsw, bargo, 5047, 3, rowe place, , 2 90747787, 5695450, 6, NoRole
rec-3845-dup-0, rec-532-org, eng, , 33, , ms, kynan, , , manunda, 4216, 2, pigdon tlace, , 617 77938929, 6386181, 4, NoRole
rec-1077-org,   rec-1966-org, ira, f, 37, 19791202, ms, rhys, lotfi, , ashfield, 4556, 11, , , 04 34259443, 3006600, 3, NoRole
rec-833-org,   rec-174-org, unk, f, , 19410906, , kiara, scorsone, nsw, allambie heights, 3163, 6, wearing street, locheil, 02 80185485, 6762091, 2, NoRole
rec-1291-org,   rec-8226-org, fre, , 29, 19870702, , zachary, charriol, nsw, paterson, 3134, 491, oliver street, amberu, 2 47530069, 2196798, 5, NoRole
